City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Rikitea,36,PF,1566566585,72,-23.12,-134.97,70.02,13.94
Tasiilaq,40,GL,1566566912,75,65.61,-37.64,42.8,2.24
Mataura,91,NZ,1566566853,81,-46.19,168.86,44.01,4.0
Jalu,0,LY,1566567200,16,29.03,21.55,100.36,12.12
Hobart,20,AU,1566566782,57,-42.88,147.33,51.8,14.99
Le Mars,1,US,1566567131,77,42.79,-96.17,64.0,8.05
Bluff,73,AU,1566566876,78,-23.58,149.07,59.04,13.76
Airai,0,TL,1566567204,87,-8.93,125.41,69.22,3.98
Butaritari,59,KI,1566566870,72,3.07,172.79,84.24,12.28
Busselton,17,AU,1566566848,59,-33.64,115.35,44.01,17.07
Zhangye,0,CN,1566567207,46,38.94,100.46,63.82,3.38
Ushuaia,75,AR,1566566746,75,-54.81,-68.31,41.0,6.93
Caravelas,48,BR,1566567212,62,-17.73,-39.27,74.26,7.18
Port Elizabeth,90,US,1566566875,88,39.31,-74.98,77.0,10.29
New Norfolk,20,AU,1566566866,57,-42.78,147.06,51.8,14.99
Hermanus,0,ZA,1566566751,77,-34.42,19.24,61.2,10.92
Ribeira Grande,40,PT,1566566865,78,38.52,-28.7,77.0,10.29
Nantucket,75,US,1566567064,64,41.28,-70.1,75.2,9.17
Aller,20,GB,1566567220,47,51.06,-2.86,77.0,8.05
Montepuez,4,MZ,1566567221,37,-13.13,39.0,80.02,6.06
Dubbo,0,AU,1566567224,55,-32.25,148.6,39.2,5.82
Bredasdorp,0,ZA,1566566852,60,-34.53,20.04,68.0,5.82
Thunder Bay,75,CA,1566567226,93,48.41,-89.26,57.0,5.82
Itarema,54,BR,1566566888,51,-2.92,-39.92,84.42,11.52
Aleksandrov Gay,90,RU,1566567228,28,50.14,48.57,87.04,9.01
Chokurdakh,91,RU,1566566847,67,70.62,147.9,53.46,5.48
Victoria,75,BN,1566566884,83,5.28,115.24,84.2,9.1
